"","created_time","headline","web_url"
"1",2020-03-19,"Witnessing the Birth of the Coronavirus Economy","https://www.nytimes.com/2020/03/19/business/coronavirus-photos-economy.html"
"2",2020-03-26,"The Coronavirus Economy: When Washington Takes Over Business","https://www.nytimes.com/2020/03/26/business/economy/coronavirus-relief-bill.html"
"3",2020-04-29,"Wall Street Rallies as the Fed Promises to Shore Up the Economy","https://www.nytimes.com/2020/04/29/business/stock-market-coronavirus.html"
"4",2020-04-29,"Fed Suggests Tough Road Ahead as It Pledges to Help Insulate Economy","https://www.nytimes.com/2020/04/29/business/economy/fed-coronavirus-interest-rates.html"
"5",2020-04-29,"Fed Weighs Next Steps to Fortify Economy Shaken by Virus","https://www.nytimes.com/2020/04/29/business/economy/federal-reserve-coronavirus-economy.html"
"6",2020-04-26,"There’s Really Only One Way to Reopen the Economy","https://www.nytimes.com/2020/04/26/opinion/coronavirus-economy-reopen.html"
"7",2020-04-29,"Worst Economy in a Decade. What’s Next? ‘Worst in Our Lifetime.’","https://www.nytimes.com/2020/04/29/business/economy/us-gdp.html"
"8",2020-04-28,"Trump Vows More Coronavirus Testing, but Less Than What May Be Needed","https://www.nytimes.com/2020/04/27/us/politics/trump-coronavirus-testing.html"
"9",2020-04-30,"Why the Global Debt of Poor Nations Must Be Canceled","https://www.nytimes.com/2020/04/30/opinion/coronavirus-debt-africa.html"
"10",2020-04-29,"China Sets Date for Congress, Signaling Coronavirus Is Under Control","https://www.nytimes.com/2020/04/29/business/china-coronavirus-congress.html"
"11",2020-04-30,"Billions in Clean Energy Loans Go Unused as Coronavirus Ravages Economy","https://www.nytimes.com/2020/04/30/climate/clean-energy-loans-coronavirus-trump.html"
"12",2020-04-23,"China Imposes New Limits as Coronavirus Fears Return","https://www.nytimes.com/2020/04/23/world/asia/china-coronavirus-new-infections.html"
"13",2020-04-20,"We Need a More Resilient American Economy","https://www.nytimes.com/2020/04/20/opinion/marco-rubio-coronavirus-economy.html"
"14",2020-04-17,"A Prescription for Reviving the Economy","https://www.nytimes.com/2020/04/17/business/dealbook/coronavirus-drug-trials-economy.html"
"15",2020-04-29,"The Bad News Won’t Stop, but Markets Keep Rising","https://www.nytimes.com/2020/04/29/business/stock-markets.html"
"16",2020-04-16,"Straggling in a Good Economy, and Now Struggling in a Crisis","https://www.nytimes.com/2020/04/16/business/economy/coronavirus-economy.html"
"17",2020-04-13,"Navarro Calls Medical Experts ‘Tone Deaf’ Over Coronavirus Shutdown","https://www.nytimes.com/2020/04/13/us/politics/peter-navarro-coronavirus.html"
"18",2020-04-23,"E.U. Moves to Shore Up Economies Reeling From Virus","https://www.nytimes.com/2020/04/23/world/europe/coronavirus-eu-economic-recovery.html"
"19",2020-04-30,"Crashing Economy, Rising Stocks: What’s Going On?","https://www.nytimes.com/2020/04/30/opinion/economy-stock-market-coronavirus.html"
"20",2020-04-28,"It’s Not Enough to ‘Get Back to Normal’","https://www.nytimes.com/2020/04/28/opinion/coronavirus-trump-us.html"
